NavB_up.ES	MemB_up.ES	CD8T_up.ES	CD4T_up.ES	NKcell_up.ES	Monocyte_up.ES	NavB_dn.ES	MemB_dn.ES	CD8T_dn.ES	CD4T_dn.ES	NKcell_dn.ES	Monocyte_dn.ES	NavB_up.pval	MemB_up.pval	CD8T_up.pval	CD4T_up.pval	NKcell_up.pval	Monocyte_up.pval	NavB_dn.pval	MemB_dn.pval	CD8T_dn.pval	CD4T_dn.pval	NKcell_dn.pval	Monocyte_dn.pval
260856-T3-T	-5.13324237045404	-5.38597876459778	5.78043298796598	-14.0281516740731	-14.0258177401749	-12.5061146006596	-88.4101515734056	-19.019187321698	-52.9998228933106	-12.9018694380246	-20.7321285053874	0.867690138846686	0	0	0	0	0	0	0	0	0	0	0	0
270881-T6-T	4.55626985238489	2.50821541222563	12.2374289180954	1.28506615759767	0.727085417318731	-4.56803653539595	-57.6727442544198	-8.05767049941067	-37.0134291259033	-5.86453278145449	-11.3280728239198	2.30127676869898	0	0	0	0	0	0	0	0	0	0	0	0
270881-T7-T	1.90665895796794	1.25155835602566	-1.30437138255621	-13.839579562979	-12.1085197443957	-4.33840705900795	-52.4079938031324	-13.8877521193042	-29.272261244428	-5.88759747853908	-12.0093897610177	-4.48195261502787	0	0	0	0	0	0	0	0	0	0	0	0
270881-T8-T	1.5790254439107	-1.26160357672075	4.23902775309189	-6.11060766570515	-8.78288694946919	-5.68243859667752	-66.4081072280829	-11.768191505401	-43.4762162064692	-8.81424756920996	-12.6070761743805	-2.09337254048282	0	0	0	0	0	0	0	0	0	0	0	0
317699-T2-T	2.07111665985912	1.28804321654726	2.89390985745319	1.40733202035387	-6.34671425126943	1.80064314613001	-17.308021628258	1.67825004402009	-11.6260179210881	-2.9264570094201	1.16826879314982	1.62438548582516	0	0	0	0	0	0	0	0	0	0	0	0
317699-T4-T	7.11679508414413	5.41048928806698	14.2048797327602	2.99819968650638	3.95403907469943	6.48308628761617	1.47701067834673	4.07472936919804	1.14710610463513	4.08700635353845	1.62750971586819	3.61191724809662	0	0	0	0	0	0	0	0	0	0	0	0
831868-T4-T	-5.58824529318329	-3.98281452212457	2.79770966181697	-7.04121714100776	0.94961971777796	1.25147820625987	1.11767143136508	0.700077167834759	1.12951249645466	1.72153385994826	0.53768552528777	-6.22047791729934	0	0	0	0	0	0	0	0	0	0	0	0
831868-T6-T	-2.54879808814818	-2.75772673146306	6.38985969272738	1.13384817468001	1.06191924875952	-3.9412002213921	0.497411771276475	1.04952346471481	-16.3828039107407	-4.12158153345198	-2.79321329872607	1.73895083544246	0	0	0	0	0	0	0	0	0	0	0	0
831868-T8-T	1.34621974194182	-2.24999737065495	11.2731998219399	1.69429878678572	2.27185421878663	1.24989448153553	1.43269251041762	2.34185271354831	0.726379545910144	-2.38572089566812	0.848276963891335	2.05134194798498	0	0	0	0	0	0	0	0	0	0	0	0
832461-T4-T	4.24740460096232	2.91789204142307	10.3706238223687	-7.07909087930534	2.38929267438593	2.11400701474197	-41.3100906092633	1.67131152941976	-27.4761352203341	1.78186613068581	-8.03812709029198	-3.6824464069409	0	0	0	0	0	0	0	0	0	0	0	0
832461-T8-T	2.2733114645619	1.43864901963765	5.74968996918151	-5.56710861299274	1.28338491990558	1.41995243703925	-29.5288477607523	-5.81556102132665	-25.6365619655108	1.7862071054816	-6.96951206622642	-2.95043815034096	0	0	0	0	0	0	0	0	0	0	0	0
833190-T1-T	2.89461301911441	1.47471331455015	5.5844120792567	-4.6161968775599	1.03947436692671	3.36461840899162	-29.3176445616573	2.61038630353345	-21.9943266864494	1.75025380198398	1.54069714625566	-2.64757974748876	0	0	0	0	0	0	0	0	0	0	0	0
833190-T4-T	-1.64391924176262	-2.5736491267813	4.27198283555068	-6.42692222777633	-7.10233465938184	-4.42784357970022	-27.5315966735051	0.754604944578553	-24.728175286972	-4.45795717721419	0.709706827394313	-4.08548863366875	0	0	0	0	0	0	0	0	0	0	0	0
833190-T7-T	1.66659729086973	-2.62866582288014	4.63610469429003	-8.14800515133735	-7.02046921026669	1.43588168090352	-33.1545660983663	1.00972544038756	-27.8211841202619	-3.82049019476853	0.644143757569532	-3.45173459155347	0	0	0	0	0	0	0	0	0	0	0	0
833625-T1-T	1.6653837315471	1.45602409192309	7.29079499979045	-5.39072486339188	-4.57749859875445	3.40470950438934	-25.255002956804	1.72579991743504	-18.7502885999379	1.69264466933207	-7.00035275948179	-3.55430767953832	0	0	0	0	0	0	0	0	0	0	0	0
833625-T4-T	3.92615351775836	2.61182730639677	12.2248277953291	1.36752321889334	2.06227104090336	3.53513764210182	-25.1828984036199	2.52589610829336	-19.7149007935909	2.19160558751179	-4.80857554527906	1.81578146111541	0	0	0	0	0	0	0	0	0	0	0	0
833625-T8-T	6.54973325714113	4.54557417390246	12.3601196863007	2.06829306485393	2.92529330803767	5.00540680222587	1.06754151526929	3.0667692433313	-18.5131789958259	3.186115546391	1.48500728293148	2.65471859609214	0	0	0	0	0	0	0	0	0	0	0	0
834243-T1-T	2.42692106077326	1.85158291160555	13.7658064408458	1.20373525184899	1.88356213641459	2.48716950527596	-23.3526616401485	1.7364599444912	-20.6331502331584	2.07712351559641	-10.075557763247	1.35504571917286	0	0	0	0	0	0	0	0	0	0	0	0
834243-T4-T	1.59103722252524	1.4197421447428	6.49125915894558	-10.4857356941338	-3.83292628664737	0.9258039546289	-31.1968881564533	-7.27183146997633	-20.8116645943193	-2.34772745199193	-12.7246755512799	-3.25629744579225	0	0	0	0	0	0	0	0	0	0	0	0
838180-T4-T	-4.81401607267423	-5.16469527596841	6.15241394964106	-11.1830316776021	-11.6200024329007	-3.53212975663833	-36.8688917768484	-9.85685397214645	-32.9126707776947	-5.73872075296804	-13.6905820502591	-7.97720687563274	0	0	0	0	0	0	0	0	0	0	0	0
838180-T8-T	-7.44708205873465	-6.97552203391746	5.42187592263282	-13.5964444583569	-16.8714367933218	-9.01715909181542	-38.6225206944074	-12.0448087116851	-34.9139018839287	-6.83764986741769	-13.032328909135	-6.64455723650698	0	0	0	0	0	0	0	0	0	0	0	0
