NavB_up.ES	MemB_up.ES	CD8T_up.ES	CD4T_up.ES	NKcell_up.ES	Monocyte_up.ES	NavB_dn.ES	MemB_dn.ES	CD8T_dn.ES	CD4T_dn.ES	NKcell_dn.ES	Monocyte_dn.ES	NavB_up.pval	MemB_up.pval	CD8T_up.pval	CD4T_up.pval	NKcell_up.pval	Monocyte_up.pval	NavB_dn.pval	MemB_dn.pval	CD8T_dn.pval	CD4T_dn.pval	NKcell_dn.pval	Monocyte_dn.pval
EGAF00002382154-CRUK0033	2.77065819464428	1.23220310852385	5.61243255243127	-11.8285746977074	-18.5929611981371	-11.0641500395713	-79.3332619704899	-20.6057986169193	-44.5825037763618	-7.3974749356727	-20.6157224748116	0.840023901211536	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382155-CRUK0033	2.60900890512279	-3.65419318370653	5.74629170479489	-11.6862084544151	-19.6214682373238	-12.7830887985004	-78.9618365155491	-20.4313608671516	-40.3555854490146	-8.15437435508233	-21.6624502137259	1.02905721275698	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382156-CRUK0035	8.20981469573608	5.98204055654542	10.4012403353546	1.79981385169789	3.3049715258619	6.97041020261796	-21.6231081805991	2.1468574592952	0.725807268042775	4.11666848932875	-8.42824805533841	-5.28222186600892	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382157-CRUK0035	7.94986278108232	5.09405074177089	17.2864844504969	2.7558487468301	3.22292661754216	3.41872274567458	-61.7899116493663	-9.36165681005319	-46.5520054917362	-3.40344185133502	-11.6866455161666	5.70478057739811	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382158-CRUK0035	8.99768682234219	5.62187701073904	18.0877248284217	3.06764453864385	2.54401041160192	1.11949259677932	-90.4936503179764	-11.4044038633465	-62.6023001314451	-5.9757273549842	-13.0616563635312	6.31116055813057	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382159-CRUK0035	9.51411442148641	5.97167352425951	20.3173109739174	3.53252801316741	3.33914577306716	2.98865304526335	-67.7714644589496	-9.24409208957182	-51.9979926914818	-3.55237974286755	-10.2131220252093	6.9007245584779	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382160-CRUK0036	-3.79402613860916	-3.26035697265895	6.97824571983175	-8.515601334858	2.03513033220976	3.00395993120944	0.914907709251598	1.54560531604967	0.84539591164032	1.96305573498915	-8.22225397183391	-6.94467090052629	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382161-CRUK0036	-9.72329355895919	-7.52908099415639	4.38262059937991	-19.0815023541234	-9.31191549062478	-5.88690094777363	-19.2478197617707	-8.66739690469975	0.680439888510798	-2.38127024757383	-9.43375678943021	-11.9379380215464	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382162-CRUK0036	-5.1313154019077	-3.4613687756535	5.81510947124104	-13.8032979360019	-8.51321076679864	-1.77898607891294	-23.5052422526819	-6.02735609183101	0.754144861038647	0.895163573149156	-7.13256561519025	-11.3884378388833	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382163-CRUK0036	-8.96866048057891	-7.73067164949154	-0.897227716076037	-15.7152379312904	-5.15555391777094	-2.74667737866483	0.612678394183633	-6.05640933833531	0.709080929120768	-2.41695209826695	-6.8943439005259	-10.2766881749928	0	0	0	0	0	0	0	0	0	0	0	0
